"","X1","X2","Y","predY100","predY25","predY50","predY200","predY400","predY800","predY1600","predY3200"
"1629",0,0,1,2,2,2,2,1,1,1,1
"2425",1,0,2,2,2,2,2,2,2,2,2
"3599",0,1,2,0,0,0,0,0,0,0,0
"1630",0,0,1,2,2,2,2,1,1,1,1
"5192",0,2,2,2,2,2,2,2,2,2,2
"1631",0,0,1,2,2,2,2,1,1,1,1
"3600",0,1,0,0,0,0,0,0,0,0,0
"2426",1,0,2,2,2,2,2,2,2,2,2
"1632",0,0,1,2,2,2,2,1,1,1,1
"2427",1,0,2,2,2,2,2,2,2,2,2
"3601",0,1,2,0,0,0,0,0,0,0,0
"1633",0,0,2,2,2,2,2,1,1,1,1
"3602",0,1,1,0,0,0,0,0,0,0,0
"3603",0,1,0,0,0,0,0,0,0,0,0
"3604",0,1,0,0,0,0,0,0,0,0,0
"4240",1,1,1,0,2,0,0,0,0,0,0
"3605",0,1,1,0,0,0,0,0,0,0,0
"2428",1,0,2,2,2,2,2,2,2,2,2
"2429",1,0,1,2,2,2,2,2,2,2,2
"3606",0,1,0,0,0,0,0,0,0,0,0
"2430",1,0,2,2,2,2,2,2,2,2,2
"1634",0,0,1,2,2,2,2,1,1,1,1
"2431",1,0,1,2,2,2,2,2,2,2,2
"3607",0,1,0,0,0,0,0,0,0,0,0
"3608",0,1,2,0,0,0,0,0,0,0,0
"1635",0,0,1,2,2,2,2,1,1,1,1
"2432",1,0,0,2,2,2,2,2,2,2,2
"2433",1,0,0,2,2,2,2,2,2,2,2
"678",1,2,0,2,2,2,2,2,2,2,2
"3609",0,1,2,0,0,0,0,0,0,0,0
"2434",1,0,2,2,2,2,2,2,2,2,2
"3610",0,1,0,0,0,0,0,0,0,0,0
"5193",0,2,2,2,2,2,2,2,2,2,2
"5194",0,2,2,2,2,2,2,2,2,2,2
"2435",1,0,0,2,2,2,2,2,2,2,2
"4241",1,1,1,0,2,0,0,0,0,0,0
"2436",1,0,2,2,2,2,2,2,2,2,2
"2437",1,0,2,2,2,2,2,2,2,2,2
"3611",0,1,0,0,0,0,0,0,0,0,0
"2438",1,0,2,2,2,2,2,2,2,2,2
"5195",0,2,2,2,2,2,2,2,2,2,2
"2439",1,0,2,2,2,2,2,2,2,2,2
"2440",1,0,2,2,2,2,2,2,2,2,2
"679",1,2,0,2,2,2,2,2,2,2,2
"1636",0,0,2,2,2,2,2,1,1,1,1
"680",1,2,0,2,2,2,2,2,2,2,2
"5196",0,2,1,2,2,2,2,2,2,2,2
"3612",0,1,0,0,0,0,0,0,0,0,0
"1637",0,0,1,2,2,2,2,1,1,1,1
"1638",0,0,1,2,2,2,2,1,1,1,1
"3613",0,1,0,0,0,0,0,0,0,0,0
"3614",0,1,0,0,0,0,0,0,0,0,0
"5197",0,2,1,2,2,2,2,2,2,2,2
"3615",0,1,0,0,0,0,0,0,0,0,0
"1639",0,0,0,2,2,2,2,1,1,1,1
"1640",0,0,2,2,2,2,2,1,1,1,1
"1641",0,0,1,2,2,2,2,1,1,1,1
"3616",0,1,2,0,0,0,0,0,0,0,0
"1642",0,0,1,2,2,2,2,1,1,1,1
"5198",0,2,1,2,2,2,2,2,2,2,2
"1643",0,0,1,2,2,2,2,1,1,1,1
"4242",1,1,0,0,2,0,0,0,0,0,0
"1644",0,0,1,2,2,2,2,1,1,1,1
"1645",0,0,1,2,2,2,2,1,1,1,1
"2441",1,0,1,2,2,2,2,2,2,2,2
"3617",0,1,2,0,0,0,0,0,0,0,0
"3618",0,1,2,0,0,0,0,0,0,0,0
"5199",0,2,2,2,2,2,2,2,2,2,2
"4243",1,1,1,0,2,0,0,0,0,0,0
"3619",0,1,0,0,0,0,0,0,0,0,0
"3620",0,1,1,0,0,0,0,0,0,0,0
"3621",0,1,0,0,0,0,0,0,0,0,0
"4244",1,1,1,0,2,0,0,0,0,0,0
"1646",0,0,1,2,2,2,2,1,1,1,1
"3622",0,1,0,0,0,0,0,0,0,0,0
"1647",0,0,1,2,2,2,2,1,1,1,1
"2442",1,0,2,2,2,2,2,2,2,2,2
"3623",0,1,0,0,0,0,0,0,0,0,0
"5200",0,2,2,2,2,2,2,2,2,2,2
"681",1,2,0,2,2,2,2,2,2,2,2
"2443",1,0,2,2,2,2,2,2,2,2,2
"2444",1,0,0,2,2,2,2,2,2,2,2
"2445",1,0,2,2,2,2,2,2,2,2,2
"682",1,2,0,2,2,2,2,2,2,2,2
"3624",0,1,0,0,0,0,0,0,0,0,0
"3625",0,1,0,0,0,0,0,0,0,0,0
"4245",1,1,0,0,2,0,0,0,0,0,0
"1648",0,0,1,2,2,2,2,1,1,1,1
"3626",0,1,1,0,0,0,0,0,0,0,0
"2446",1,0,2,2,2,2,2,2,2,2,2
"4246",1,1,0,0,2,0,0,0,0,0,0
"4247",1,1,1,0,2,0,0,0,0,0,0
"683",1,2,0,2,2,2,2,2,2,2,2
"5201",0,2,2,2,2,2,2,2,2,2,2
"2447",1,0,2,2,2,2,2,2,2,2,2
"5202",0,2,2,2,2,2,2,2,2,2,2
"1649",0,0,1,2,2,2,2,1,1,1,1
"1650",0,0,2,2,2,2,2,1,1,1,1
"5203",0,2,1,2,2,2,2,2,2,2,2
"1651",0,0,1,2,2,2,2,1,1,1,1
"3627",0,1,2,0,0,0,0,0,0,0,0
"3628",0,1,0,0,0,0,0,0,0,0,0
"2448",1,0,2,2,2,2,2,2,2,2,2
"3629",0,1,0,0,0,0,0,0,0,0,0
"1652",0,0,1,2,2,2,2,1,1,1,1
"2449",1,0,1,2,2,2,2,2,2,2,2
"1653",0,0,1,2,2,2,2,1,1,1,1
"5204",0,2,1,2,2,2,2,2,2,2,2
"1654",0,0,1,2,2,2,2,1,1,1,1
"1655",0,0,1,2,2,2,2,1,1,1,1
"2450",1,0,2,2,2,2,2,2,2,2,2
"684",1,2,0,2,2,2,2,2,2,2,2
"1656",0,0,1,2,2,2,2,1,1,1,1
"4248",1,1,0,0,2,0,0,0,0,0,0
"2451",1,0,2,2,2,2,2,2,2,2,2
"3630",0,1,2,0,0,0,0,0,0,0,0
"4249",1,1,0,0,2,0,0,0,0,0,0
"3631",0,1,2,0,0,0,0,0,0,0,0
"3632",0,1,0,0,0,0,0,0,0,0,0
"685",1,2,0,2,2,2,2,2,2,2,2
"3633",0,1,0,0,0,0,0,0,0,0,0
"3634",0,1,2,0,0,0,0,0,0,0,0
"3635",0,1,1,0,0,0,0,0,0,0,0
"4250",1,1,0,0,2,0,0,0,0,0,0
"1657",0,0,1,2,2,2,2,1,1,1,1
"1658",0,0,0,2,2,2,2,1,1,1,1
"5205",0,2,2,2,2,2,2,2,2,2,2
"3636",0,1,0,0,0,0,0,0,0,0,0
"2452",1,0,0,2,2,2,2,2,2,2,2
"5206",0,2,2,2,2,2,2,2,2,2,2
"3637",0,1,2,0,0,0,0,0,0,0,0
"4251",1,1,0,0,2,0,0,0,0,0,0
"2453",1,0,2,2,2,2,2,2,2,2,2
"686",1,2,0,2,2,2,2,2,2,2,2
"687",1,2,0,2,2,2,2,2,2,2,2
"2454",1,0,0,2,2,2,2,2,2,2,2
"4252",1,1,0,0,2,0,0,0,0,0,0
"3638",0,1,0,0,0,0,0,0,0,0,0
"1659",0,0,0,2,2,2,2,1,1,1,1
"1660",0,0,1,2,2,2,2,1,1,1,1
"1661",0,0,2,2,2,2,2,1,1,1,1
"1662",0,0,1,2,2,2,2,1,1,1,1
"1663",0,0,0,2,2,2,2,1,1,1,1
"3639",0,1,2,0,0,0,0,0,0,0,0
"2455",1,0,2,2,2,2,2,2,2,2,2
"1664",0,0,2,2,2,2,2,1,1,1,1
"1665",0,0,1,2,2,2,2,1,1,1,1
"3640",0,1,0,0,0,0,0,0,0,0,0
"5207",0,2,2,2,2,2,2,2,2,2,2
"4253",1,1,0,0,2,0,0,0,0,0,0
"3641",0,1,0,0,0,0,0,0,0,0,0
"1666",0,0,2,2,2,2,2,1,1,1,1
"1667",0,0,1,2,2,2,2,1,1,1,1
"3642",0,1,2,0,0,0,0,0,0,0,0
"1668",0,0,1,2,2,2,2,1,1,1,1
"4254",1,1,0,0,2,0,0,0,0,0,0
"1669",0,0,1,2,2,2,2,1,1,1,1
"2456",1,0,2,2,2,2,2,2,2,2,2
"3643",0,1,2,0,0,0,0,0,0,0,0
"3644",0,1,0,0,0,0,0,0,0,0,0
"4255",1,1,0,0,2,0,0,0,0,0,0
"1670",0,0,0,2,2,2,2,1,1,1,1
"4256",1,1,0,0,2,0,0,0,0,0,0
"1671",0,0,0,2,2,2,2,1,1,1,1
"4257",1,1,1,0,2,0,0,0,0,0,0
"688",1,2,0,2,2,2,2,2,2,2,2
"2457",1,0,2,2,2,2,2,2,2,2,2
"1672",0,0,0,2,2,2,2,1,1,1,1
"2458",1,0,0,2,2,2,2,2,2,2,2
"3645",0,1,2,0,0,0,0,0,0,0,0
"1673",0,0,1,2,2,2,2,1,1,1,1
"1674",0,0,1,2,2,2,2,1,1,1,1
"4258",1,1,0,0,2,0,0,0,0,0,0
"4259",1,1,0,0,2,0,0,0,0,0,0
"3646",0,1,0,0,0,0,0,0,0,0,0
"689",1,2,0,2,2,2,2,2,2,2,2
"1675",0,0,2,2,2,2,2,1,1,1,1
"3647",0,1,0,0,0,0,0,0,0,0,0
"690",1,2,0,2,2,2,2,2,2,2,2
"1676",0,0,1,2,2,2,2,1,1,1,1
"5208",0,2,1,2,2,2,2,2,2,2,2
"4260",1,1,0,0,2,0,0,0,0,0,0
"3648",0,1,0,0,0,0,0,0,0,0,0
"2459",1,0,0,2,2,2,2,2,2,2,2
"3649",0,1,0,0,0,0,0,0,0,0,0
"3650",0,1,2,0,0,0,0,0,0,0,0
"2460",1,0,1,2,2,2,2,2,2,2,2
"3651",0,1,2,0,0,0,0,0,0,0,0
"3652",0,1,2,0,0,0,0,0,0,0,0
"4261",1,1,1,0,2,0,0,0,0,0,0
"2461",1,0,1,2,2,2,2,2,2,2,2
"2462",1,0,0,2,2,2,2,2,2,2,2
"2463",1,0,2,2,2,2,2,2,2,2,2
"3653",0,1,0,0,0,0,0,0,0,0,0
"1677",0,0,0,2,2,2,2,1,1,1,1
"1678",0,0,1,2,2,2,2,1,1,1,1
"5209",0,2,2,2,2,2,2,2,2,2,2
"2464",1,0,2,2,2,2,2,2,2,2,2
"1679",0,0,1,2,2,2,2,1,1,1,1
"5210",0,2,2,2,2,2,2,2,2,2,2
"691",1,2,0,2,2,2,2,2,2,2,2
"4262",1,1,1,0,2,0,0,0,0,0,0
"3654",0,1,0,0,0,0,0,0,0,0,0
"2465",1,0,2,2,2,2,2,2,2,2,2
"1680",0,0,1,2,2,2,2,1,1,1,1
"1681",0,0,1,2,2,2,2,1,1,1,1
"1682",0,0,1,2,2,2,2,1,1,1,1
"1683",0,0,0,2,2,2,2,1,1,1,1
"692",1,2,0,2,2,2,2,2,2,2,2
"1684",0,0,1,2,2,2,2,1,1,1,1
"2466",1,0,2,2,2,2,2,2,2,2,2
"4263",1,1,0,0,2,0,0,0,0,0,0
"3655",0,1,0,0,0,0,0,0,0,0,0
"2467",1,0,1,2,2,2,2,2,2,2,2
"1685",0,0,1,2,2,2,2,1,1,1,1
"1686",0,0,1,2,2,2,2,1,1,1,1
"4264",1,1,0,0,2,0,0,0,0,0,0
"1687",0,0,1,2,2,2,2,1,1,1,1
"1688",0,0,1,2,2,2,2,1,1,1,1
"1689",0,0,0,2,2,2,2,1,1,1,1
"1690",0,0,0,2,2,2,2,1,1,1,1
"3656",0,1,0,0,0,0,0,0,0,0,0
"3657",0,1,2,0,0,0,0,0,0,0,0
"3658",0,1,0,0,0,0,0,0,0,0,0
"3659",0,1,0,0,0,0,0,0,0,0,0
"1691",0,0,1,2,2,2,2,1,1,1,1
"2468",1,0,1,2,2,2,2,2,2,2,2
"1692",0,0,1,2,2,2,2,1,1,1,1
"1693",0,0,1,2,2,2,2,1,1,1,1
"5211",0,2,1,2,2,2,2,2,2,2,2
"2469",1,0,2,2,2,2,2,2,2,2,2
"3660",0,1,1,0,0,0,0,0,0,0,0
"3661",0,1,0,0,0,0,0,0,0,0,0
"1694",0,0,0,2,2,2,2,1,1,1,1
"693",1,2,0,2,2,2,2,2,2,2,2
"3662",0,1,0,0,0,0,0,0,0,0,0
"1695",0,0,0,2,2,2,2,1,1,1,1
"2470",1,0,0,2,2,2,2,2,2,2,2
"1696",0,0,1,2,2,2,2,1,1,1,1
"2471",1,0,2,2,2,2,2,2,2,2,2
"3663",0,1,2,0,0,0,0,0,0,0,0
"2472",1,0,0,2,2,2,2,2,2,2,2
"2473",1,0,2,2,2,2,2,2,2,2,2
"4265",1,1,0,0,2,0,0,0,0,0,0
"1697",0,0,1,2,2,2,2,1,1,1,1
"5212",0,2,1,2,2,2,2,2,2,2,2
"2474",1,0,0,2,2,2,2,2,2,2,2
"1698",0,0,0,2,2,2,2,1,1,1,1
"2475",1,0,0,2,2,2,2,2,2,2,2
"2476",1,0,1,2,2,2,2,2,2,2,2
"2477",1,0,2,2,2,2,2,2,2,2,2
"1699",0,0,2,2,2,2,2,1,1,1,1
"2478",1,0,2,2,2,2,2,2,2,2,2
"3664",0,1,0,0,0,0,0,0,0,0,0
"3665",0,1,0,0,0,0,0,0,0,0,0
"1700",0,0,1,2,2,2,2,1,1,1,1
"3666",0,1,0,0,0,0,0,0,0,0,0
"4266",1,1,0,0,2,0,0,0,0,0,0
"1701",0,0,0,2,2,2,2,1,1,1,1
"1702",0,0,1,2,2,2,2,1,1,1,1
"3667",0,1,2,0,0,0,0,0,0,0,0
"1703",0,0,1,2,2,2,2,1,1,1,1
"694",1,2,0,2,2,2,2,2,2,2,2
"3668",0,1,0,0,0,0,0,0,0,0,0
"3669",0,1,0,0,0,0,0,0,0,0,0
"3670",0,1,0,0,0,0,0,0,0,0,0
"1704",0,0,0,2,2,2,2,1,1,1,1
"2479",1,0,0,2,2,2,2,2,2,2,2
"1705",0,0,1,2,2,2,2,1,1,1,1
"1706",0,0,1,2,2,2,2,1,1,1,1
"3671",0,1,0,0,0,0,0,0,0,0,0
"2480",1,0,0,2,2,2,2,2,2,2,2
"3672",0,1,2,0,0,0,0,0,0,0,0
"3673",0,1,0,0,0,0,0,0,0,0,0
"1707",0,0,0,2,2,2,2,1,1,1,1
"3674",0,1,2,0,0,0,0,0,0,0,0
"5213",0,2,2,2,2,2,2,2,2,2,2
"5214",0,2,1,2,2,2,2,2,2,2,2
"1708",0,0,0,2,2,2,2,1,1,1,1
"3675",0,1,2,0,0,0,0,0,0,0,0
"2481",1,0,2,2,2,2,2,2,2,2,2
"2482",1,0,2,2,2,2,2,2,2,2,2
"4267",1,1,1,0,2,0,0,0,0,0,0
"5215",0,2,2,2,2,2,2,2,2,2,2
"1709",0,0,0,2,2,2,2,1,1,1,1
"3676",0,1,2,0,0,0,0,0,0,0,0
"2483",1,0,2,2,2,2,2,2,2,2,2
"1710",0,0,0,2,2,2,2,1,1,1,1
"2484",1,0,2,2,2,2,2,2,2,2,2
"1711",0,0,1,2,2,2,2,1,1,1,1
"3677",0,1,2,0,0,0,0,0,0,0,0
"1712",0,0,1,2,2,2,2,1,1,1,1
"1713",0,0,0,2,2,2,2,1,1,1,1
"1714",0,0,1,2,2,2,2,1,1,1,1
"4268",1,1,0,0,2,0,0,0,0,0,0
"1715",0,0,1,2,2,2,2,1,1,1,1
"1716",0,0,1,2,2,2,2,1,1,1,1
"1717",0,0,0,2,2,2,2,1,1,1,1
"2485",1,0,0,2,2,2,2,2,2,2,2
"1718",0,0,1,2,2,2,2,1,1,1,1
"1719",0,0,1,2,2,2,2,1,1,1,1
"1720",0,0,0,2,2,2,2,1,1,1,1
"1721",0,0,0,2,2,2,2,1,1,1,1
"4269",1,1,0,0,2,0,0,0,0,0,0
"695",1,2,0,2,2,2,2,2,2,2,2
"1722",0,0,0,2,2,2,2,1,1,1,1
"4270",1,1,0,0,2,0,0,0,0,0,0
"4271",1,1,0,0,2,0,0,0,0,0,0
"3678",0,1,0,0,0,0,0,0,0,0,0
"3679",0,1,2,0,0,0,0,0,0,0,0
"4272",1,1,0,0,2,0,0,0,0,0,0
"1723",0,0,1,2,2,2,2,1,1,1,1
"2486",1,0,2,2,2,2,2,2,2,2,2
"1724",0,0,0,2,2,2,2,1,1,1,1
"1725",0,0,1,2,2,2,2,1,1,1,1
"3680",0,1,0,0,0,0,0,0,0,0,0
"1726",0,0,1,2,2,2,2,1,1,1,1
"1727",0,0,1,2,2,2,2,1,1,1,1
"696",1,2,0,2,2,2,2,2,2,2,2
"3681",0,1,0,0,0,0,0,0,0,0,0
"1728",0,0,1,2,2,2,2,1,1,1,1
"3682",0,1,2,0,0,0,0,0,0,0,0
"2487",1,0,2,2,2,2,2,2,2,2,2
"1729",0,0,1,2,2,2,2,1,1,1,1
"4273",1,1,0,0,2,0,0,0,0,0,0
"2488",1,0,2,2,2,2,2,2,2,2,2
"2489",1,0,0,2,2,2,2,2,2,2,2
"1730",0,0,1,2,2,2,2,1,1,1,1
"1731",0,0,0,2,2,2,2,1,1,1,1
"4274",1,1,0,0,2,0,0,0,0,0,0
"2490",1,0,0,2,2,2,2,2,2,2,2
"1732",0,0,2,2,2,2,2,1,1,1,1
"3683",0,1,2,0,0,0,0,0,0,0,0
"3684",0,1,0,0,0,0,0,0,0,0,0
"1733",0,0,0,2,2,2,2,1,1,1,1
"2491",1,0,2,2,2,2,2,2,2,2,2
"4275",1,1,1,0,2,0,0,0,0,0,0
"1734",0,0,0,2,2,2,2,1,1,1,1
"3685",0,1,1,0,0,0,0,0,0,0,0
"4276",1,1,0,0,2,0,0,0,0,0,0
"2492",1,0,1,2,2,2,2,2,2,2,2
"2493",1,0,0,2,2,2,2,2,2,2,2
"2494",1,0,2,2,2,2,2,2,2,2,2
"1735",0,0,1,2,2,2,2,1,1,1,1
"1736",0,0,1,2,2,2,2,1,1,1,1
"1737",0,0,1,2,2,2,2,1,1,1,1
"5216",0,2,2,2,2,2,2,2,2,2,2
"1738",0,0,1,2,2,2,2,1,1,1,1
"1739",0,0,0,2,2,2,2,1,1,1,1
"3686",0,1,2,0,0,0,0,0,0,0,0
"5217",0,2,2,2,2,2,2,2,2,2,2
"1740",0,0,0,2,2,2,2,1,1,1,1
"2495",1,0,0,2,2,2,2,2,2,2,2
"2496",1,0,2,2,2,2,2,2,2,2,2
"3687",0,1,0,0,0,0,0,0,0,0,0
"5218",0,2,1,2,2,2,2,2,2,2,2
"4277",1,1,0,0,2,0,0,0,0,0,0
"1741",0,0,0,2,2,2,2,1,1,1,1
"1742",0,0,0,2,2,2,2,1,1,1,1
"3688",0,1,0,0,0,0,0,0,0,0,0
"1743",0,0,0,2,2,2,2,1,1,1,1
"1744",0,0,1,2,2,2,2,1,1,1,1
"3689",0,1,0,0,0,0,0,0,0,0,0
"1745",0,0,1,2,2,2,2,1,1,1,1
"3690",0,1,2,0,0,0,0,0,0,0,0
"5219",0,2,2,2,2,2,2,2,2,2,2
"697",1,2,0,2,2,2,2,2,2,2,2
"1746",0,0,0,2,2,2,2,1,1,1,1
"3691",0,1,0,0,0,0,0,0,0,0,0
"2497",1,0,2,2,2,2,2,2,2,2,2
"1747",0,0,0,2,2,2,2,1,1,1,1
"4278",1,1,0,0,2,0,0,0,0,0,0
"3692",0,1,2,0,0,0,0,0,0,0,0
"3693",0,1,0,0,0,0,0,0,0,0,0
"1748",0,0,0,2,2,2,2,1,1,1,1
"2498",1,0,2,2,2,2,2,2,2,2,2
"2499",1,0,1,2,2,2,2,2,2,2,2
"2500",1,0,2,2,2,2,2,2,2,2,2
"2501",1,0,2,2,2,2,2,2,2,2,2
"2502",1,0,0,2,2,2,2,2,2,2,2
"4279",1,1,0,0,2,0,0,0,0,0,0
"5220",0,2,2,2,2,2,2,2,2,2,2
"1749",0,0,1,2,2,2,2,1,1,1,1
"3694",0,1,0,0,0,0,0,0,0,0,0
"3695",0,1,0,0,0,0,0,0,0,0,0
"3696",0,1,0,0,0,0,0,0,0,0,0
"1750",0,0,1,2,2,2,2,1,1,1,1
"3697",0,1,2,0,0,0,0,0,0,0,0
"3698",0,1,0,0,0,0,0,0,0,0,0
"2503",1,0,0,2,2,2,2,2,2,2,2
"1751",0,0,1,2,2,2,2,1,1,1,1
"4280",1,1,0,0,2,0,0,0,0,0,0
"1752",0,0,1,2,2,2,2,1,1,1,1
"3699",0,1,0,0,0,0,0,0,0,0,0
"3700",0,1,2,0,0,0,0,0,0,0,0
"2504",1,0,0,2,2,2,2,2,2,2,2
"1753",0,0,0,2,2,2,2,1,1,1,1
"3701",0,1,0,0,0,0,0,0,0,0,0
"5221",0,2,2,2,2,2,2,2,2,2,2
"1754",0,0,1,2,2,2,2,1,1,1,1
"1755",0,0,0,2,2,2,2,1,1,1,1
"4281",1,1,0,0,2,0,0,0,0,0,0
"3702",0,1,0,0,0,0,0,0,0,0,0
"3703",0,1,2,0,0,0,0,0,0,0,0
"4282",1,1,0,0,2,0,0,0,0,0,0
"3704",0,1,0,0,0,0,0,0,0,0,0
"1756",0,0,1,2,2,2,2,1,1,1,1
"2505",1,0,0,2,2,2,2,2,2,2,2
"4283",1,1,1,0,2,0,0,0,0,0,0
"2506",1,0,2,2,2,2,2,2,2,2,2
"1757",0,0,1,2,2,2,2,1,1,1,1
"3705",0,1,0,0,0,0,0,0,0,0,0
"3706",0,1,0,0,0,0,0,0,0,0,0
"4284",1,1,0,0,2,0,0,0,0,0,0
"5222",0,2,1,2,2,2,2,2,2,2,2
"3707",0,1,0,0,0,0,0,0,0,0,0
"1758",0,0,0,2,2,2,2,1,1,1,1
"3708",0,1,2,0,0,0,0,0,0,0,0
"2507",1,0,2,2,2,2,2,2,2,2,2
"3709",0,1,0,0,0,0,0,0,0,0,0
"3710",0,1,2,0,0,0,0,0,0,0,0
"1759",0,0,1,2,2,2,2,1,1,1,1
"3711",0,1,0,0,0,0,0,0,0,0,0
"4285",1,1,0,0,2,0,0,0,0,0,0
"1760",0,0,0,2,2,2,2,1,1,1,1
"1761",0,0,1,2,2,2,2,1,1,1,1
"3712",0,1,2,0,0,0,0,0,0,0,0
"1762",0,0,1,2,2,2,2,1,1,1,1
"5223",0,2,1,2,2,2,2,2,2,2,2
"1763",0,0,1,2,2,2,2,1,1,1,1
"2508",1,0,0,2,2,2,2,2,2,2,2
"2509",1,0,2,2,2,2,2,2,2,2,2
"2510",1,0,1,2,2,2,2,2,2,2,2
"1764",0,0,1,2,2,2,2,1,1,1,1
"5224",0,2,1,2,2,2,2,2,2,2,2
"5225",0,2,1,2,2,2,2,2,2,2,2
"3713",0,1,0,0,0,0,0,0,0,0,0
"1765",0,0,1,2,2,2,2,1,1,1,1
"1766",0,0,1,2,2,2,2,1,1,1,1
"1767",0,0,1,2,2,2,2,1,1,1,1
"1768",0,0,1,2,2,2,2,1,1,1,1
"3714",0,1,0,0,0,0,0,0,0,0,0
"1769",0,0,2,2,2,2,2,1,1,1,1
"2511",1,0,0,2,2,2,2,2,2,2,2
"5226",0,2,1,2,2,2,2,2,2,2,2
"1770",0,0,2,2,2,2,2,1,1,1,1
"3715",0,1,2,0,0,0,0,0,0,0,0
"1771",0,0,1,2,2,2,2,1,1,1,1
"2512",1,0,0,2,2,2,2,2,2,2,2
"2513",1,0,2,2,2,2,2,2,2,2,2
"2514",1,0,2,2,2,2,2,2,2,2,2
"3716",0,1,2,0,0,0,0,0,0,0,0
"1772",0,0,2,2,2,2,2,1,1,1,1
"3717",0,1,0,0,0,0,0,0,0,0,0
"1773",0,0,1,2,2,2,2,1,1,1,1
"1774",0,0,1,2,2,2,2,1,1,1,1
"4286",1,1,0,0,2,0,0,0,0,0,0
"3718",0,1,2,0,0,0,0,0,0,0,0
"3719",0,1,1,0,0,0,0,0,0,0,0
"3720",0,1,0,0,0,0,0,0,0,0,0
"3721",0,1,0,0,0,0,0,0,0,0,0
"4287",1,1,0,0,2,0,0,0,0,0,0
"3722",0,1,2,0,0,0,0,0,0,0,0
"1775",0,0,1,2,2,2,2,1,1,1,1
"1776",0,0,0,2,2,2,2,1,1,1,1
"1777",0,0,0,2,2,2,2,1,1,1,1
"1778",0,0,0,2,2,2,2,1,1,1,1
"2515",1,0,2,2,2,2,2,2,2,2,2
"2516",1,0,2,2,2,2,2,2,2,2,2
"2517",1,0,0,2,2,2,2,2,2,2,2
"2518",1,0,0,2,2,2,2,2,2,2,2
"2519",1,0,2,2,2,2,2,2,2,2,2
"4288",1,1,0,0,2,0,0,0,0,0,0
"698",1,2,0,2,2,2,2,2,2,2,2
"2520",1,0,1,2,2,2,2,2,2,2,2
"1779",0,0,0,2,2,2,2,1,1,1,1
"4289",1,1,0,0,2,0,0,0,0,0,0
"2521",1,0,2,2,2,2,2,2,2,2,2
"1780",0,0,1,2,2,2,2,1,1,1,1
"1781",0,0,0,2,2,2,2,1,1,1,1
"4290",1,1,0,0,2,0,0,0,0,0,0
"5227",0,2,2,2,2,2,2,2,2,2,2
"5228",0,2,1,2,2,2,2,2,2,2,2
"3723",0,1,0,0,0,0,0,0,0,0,0
"2522",1,0,0,2,2,2,2,2,2,2,2
"1782",0,0,1,2,2,2,2,1,1,1,1
"3724",0,1,2,0,0,0,0,0,0,0,0
"2523",1,0,2,2,2,2,2,2,2,2,2
"5229",0,2,2,2,2,2,2,2,2,2,2
"1783",0,0,1,2,2,2,2,1,1,1,1
"3725",0,1,0,0,0,0,0,0,0,0,0
"2524",1,0,2,2,2,2,2,2,2,2,2
"1784",0,0,1,2,2,2,2,1,1,1,1
"5230",0,2,2,2,2,2,2,2,2,2,2
"1785",0,0,0,2,2,2,2,1,1,1,1
"2525",1,0,2,2,2,2,2,2,2,2,2
"3726",0,1,2,0,0,0,0,0,0,0,0
"5231",0,2,1,2,2,2,2,2,2,2,2
"1786",0,0,0,2,2,2,2,1,1,1,1
"5232",0,2,1,2,2,2,2,2,2,2,2
"4291",1,1,1,0,2,0,0,0,0,0,0
"3727",0,1,0,0,0,0,0,0,0,0,0
"699",1,2,0,2,2,2,2,2,2,2,2
"2526",1,0,0,2,2,2,2,2,2,2,2
"1787",0,0,1,2,2,2,2,1,1,1,1
"1788",0,0,1,2,2,2,2,1,1,1,1
"5233",0,2,2,2,2,2,2,2,2,2,2
"1789",0,0,2,2,2,2,2,1,1,1,1
"3728",0,1,0,0,0,0,0,0,0,0,0
"1790",0,0,0,2,2,2,2,1,1,1,1
"2527",1,0,1,2,2,2,2,2,2,2,2
"2528",1,0,0,2,2,2,2,2,2,2,2
"1791",0,0,1,2,2,2,2,1,1,1,1
"5234",0,2,2,2,2,2,2,2,2,2,2
"2529",1,0,2,2,2,2,2,2,2,2,2
"3729",0,1,0,0,0,0,0,0,0,0,0
"2530",1,0,0,2,2,2,2,2,2,2,2
"1792",0,0,1,2,2,2,2,1,1,1,1
"1793",0,0,1,2,2,2,2,1,1,1,1
"1794",0,0,1,2,2,2,2,1,1,1,1
"1795",0,0,1,2,2,2,2,1,1,1,1
"2531",1,0,2,2,2,2,2,2,2,2,2
"4292",1,1,0,0,2,0,0,0,0,0,0
"3730",0,1,2,0,0,0,0,0,0,0,0
"1796",0,0,1,2,2,2,2,1,1,1,1
"3731",0,1,2,0,0,0,0,0,0,0,0
"5235",0,2,2,2,2,2,2,2,2,2,2
"3732",0,1,0,0,0,0,0,0,0,0,0
"4293",1,1,0,0,2,0,0,0,0,0,0
"2532",1,0,2,2,2,2,2,2,2,2,2
"1797",0,0,0,2,2,2,2,1,1,1,1
"3733",0,1,0,0,0,0,0,0,0,0,0
"1798",0,0,1,2,2,2,2,1,1,1,1
"4294",1,1,1,0,2,0,0,0,0,0,0
"3734",0,1,0,0,0,0,0,0,0,0,0
"4295",1,1,0,0,2,0,0,0,0,0,0
"4296",1,1,0,0,2,0,0,0,0,0,0
